"","pes21_occ_text"
"1248",""
"1249","Instructor"
"1250","Information technology"
"1251","Corrections Officer"
"1252","clerical"
"1253",""
"1254",""
"1255","Agent"
"1256","-99"
"1257","-99"
"1258","manager of IS operations PMO for a telecom company"
"1259","student"
"1260","sais pas"
"1261","student"
"1262","Librarian"
"1263","Psychologue"
"1264",""
"1265","Office Admin"
"1266",""
"1267","professionnel - assurance"
"1268","construction"
"1269","Cashier"
"1270",""
"1271","Professor"
"1272","Employée à temps plein"
"1273",""
"1274","gig economy contractor"
"1275","airline pilot"
"1276","administration"
"1277","business owner"
"1278",""
"1279","travailleur autonome"
"1280","transportation"
"1281","Social service"
"1282","Service à la clientèle"
"1283","temps plein"
"1284","Directeur de comptes"
"1285","Homecare"
"1286","Office Manager"
"1287",""
"1288","College Professor"
"1289","technician"
"1290",""
"1291","Bookkeeper Retired"
"1292","Educator"
"1293","Ski resort manager"
"1294","comptable"
"1295","Teacher"
"1296",""
"1297","writer"
"1298","Entraineur"
"1299","Teacher"
"1300","Financial analyst"
"1301","-99"
"1302","Educator"
"1303","trampoline coach"
"1304","Bookkeeper"
"1305",""
"1306","avocat"
"1307","Forest Ecologist"
"1308",""
"1309",""
"1310","merchandiser"
"1311","Professor"
"1312",""
"1313",""
"1314",""
"1315","healthcare"
"1316","student"
"1317","Fonctionnaire Provincial"
"1318",""
"1319","Teacher"
"1320","former small business owner"
"1321","Manager"
"1322",""
"1323","Sans emploi"
"1324",""
"1325","Auditor."
"1326","Cust Serv Rep"
"1327",""
"1328","Behavioural Therapist"
"1329","Cival Servant"
"1330","Administration"
"1331","Administrative Assistant"
"1332","Étudiant"
"1333",""
"1334","-99"
"1335",""
"1336","School custodian"
"1337","Dentiste"
"1338","Archiviste"
"1339","teacher"
"1340","Dietitian"
"1341",""
"1342","Teacher"
"1343",""
"1344","Étudiante"
"1345",""
"1346","conseiller en rh"
"1347","manager"
"1348",""
"1349",""
"1350",""
"1351","childcare"
"1352","retail"
"1353","Product Specialist"
"1354","Retail store manager"
"1355",""
"1356","IT Security"
"1357","team lead"
"1358","-99"
